name,team,age,pre_IP,pre_FIP,prior_FIP,marcel_FIP,proj_FIP,model,mlbam
Riley O'Brien,St. Louis Cardinals,31,34.3,3.361,3.614,3.67,3.793,Ridge regression,676617
Travis Adams,Minnesota Twins,26,20.0,4.249,5.392,4.824,3.8,Ridge regression,701519
Jacob Webb,Chicago Cubs,32,36.3,3.925,4.302,4.187,3.803,Ridge regression,657097
Jake Bennett,Boston Red Sox,25,33.0,3.099,,3.778,3.803,Ridge regression,687562
Kris Bubic,Kansas City Royals,28,50.3,3.715,2.894,3.489,3.805,Ridge regression,663460
Davis Martin,Chicago White Sox,29,93.0,2.905,4.635,3.55,3.807,Ridge regression,663436
MacKenzie Gore,Texas Rangers,27,91.0,3.429,3.743,3.606,3.823,Ridge regression,669022
Tejay Antone,Cincinnati Reds,32,23.0,3.447,,4.028,3.83,Ridge regression,622088
Jovani Morán,Boston Red Sox,29,33.0,4.22,2.885,3.63,3.832,Ridge regression,663558
Steven Okert,Houston Astros,34,40.0,3.649,2.758,3.441,3.833,Ridge regression,595345
Elvis Alvarado,Athletics,27,21.3,4.693,4.316,4.385,3.84,Ridge regression,665660
Gavin Williams,Cleveland Guardians,26,101.7,3.778,4.393,3.973,3.845,Ridge regression,668909
Lake Bachar,Miami Marlins,31,44.3,3.753,4.248,4.066,3.846,Ridge regression,669199
Christian Scott,New York Mets,27,45.0,3.921,,4.07,3.847,Ridge regression,681035
Yusei Kikuchi,Los Angeles Angels,35,31.0,3.68,4.228,4.112,3.853,Ridge regression,579328
Paul Sewald,Arizona Diamondbacks,36,29.0,3.996,4.66,4.437,3.853,Ridge regression,623149
Jakob Junis,Texas Rangers,33,34.3,3.128,3.45,3.533,3.856,Ridge regression,596001
José Suarez,Athletics,28,41.0,3.489,3.704,3.712,3.858,Ridge regression,660761
Anthony Nunez,Baltimore Orioles,24,34.3,4.089,,4.118,3.862,Ridge regression,689296
Clay Holmes,New York Mets,33,52.7,3.213,4.107,3.761,3.868,Ridge regression,605280
Chase Silseth,Los Angeles Angels,26,30.3,3.857,3.862,3.914,3.868,Ridge regression,681217
Jack Flaherty,Detroit Tigers,30,70.7,3.891,3.849,3.948,3.872,Ridge regression,656427
Tatsuya Imai,Houston Astros,28,47.0,4.142,,4.174,3.873,Ridge regression,837227
Max Meyer,Miami Marlins,27,97.0,3.295,4.465,3.71,3.892,Ridge regression,676974
Daniel Lynch IV,Kansas City Royals,29,34.0,3.246,4.761,4.122,3.897,Ridge regression,663738
Jake Bird,New York Yankees,30,24.0,4.266,3.912,4.101,3.897,Ridge regression,656234
Cole Sulser,Tampa Bay Rays,36,33.7,3.693,2.694,3.429,3.897,Ridge regression,642121
Connor Prielipp,Minnesota Twins,25,61.7,3.618,,3.876,3.901,Ridge regression,687570
Camilo Doval,New York Yankees,28,30.7,4.012,3.472,3.806,3.902,Ridge regression,666808
Caleb Kilian,San Francisco Giants,29,34.0,4.246,,4.225,3.904,Ridge regression,668873
Huascar Brazobán,New York Mets,36,41.7,3.267,4.04,3.838,3.907,Ridge regression,623211
Tanner Banks,Philadelphia Phillies,34,27.7,3.677,3.64,3.833,3.912,Ridge regression,621383
Trey Yesavage,Toronto Blue Jays,22,60.7,3.791,2.349,3.298,3.913,Ridge regression,702056
Brad Keller,Philadelphia Phillies,30,30.3,4.154,2.934,3.622,3.915,Ridge regression,641745
David Morgan,San Diego Padres,26,22.0,4.099,3.705,3.905,3.918,Ridge regression,688158
Enyel De Los Santos,Houston Astros,30,36.7,3.754,3.817,3.891,3.919,Ridge regression,660853
Tyler Kinley,Atlanta Braves,35,29.0,4.271,3.685,4.056,3.92,Ridge regression,641755
Pierce Johnson,Cincinnati Reds,35,23.3,3.828,3.915,4.028,3.923,Ridge regression,572955
Isaac Mattson,Pittsburgh Pirates,30,25.0,3.419,3.659,3.729,3.926,Ridge regression,676755
Tyler Alexander,Texas Rangers,31,34.3,3.332,3.637,3.67,3.926,Ridge regression,641302
Blake Treinen,Los Angeles Dodgers,38,23.0,3.49,4.747,4.386,3.926,Ridge regression,595014
Kyle Hart,San Diego Padres,33,26.0,2.83,5.182,4.322,3.928,Ridge regression,606996
Calvin Faucher,Miami Marlins,30,33.7,3.337,4.245,3.936,3.933,Ridge regression,676534
Noah Cameron,Kansas City Royals,26,80.0,3.424,4.176,3.737,3.934,Ridge regression,702070
Will Warren,New York Yankees,27,84.0,3.599,4.065,3.808,3.938,Ridge regression,701542
Andrew Nardi,Miami Marlins,27,22.7,4.599,,4.296,3.945,Ridge regression,677053
Shane McClanahan,Tampa Bay Rays,29,73.7,3.398,,3.77,3.946,Ridge regression,663556
Ryan Zeferjahn,Los Angeles Angels,28,37.7,4.134,5.363,4.681,3.949,Ridge regression,666171
Hogan Harris,Athletics,29,37.7,4.214,3.707,4.01,3.951,Ridge regression,663687
George Kirby,Seattle Mariners,28,96.0,3.349,3.365,3.459,3.952,Ridge regression,669923
Ian Seymour,Tampa Bay Rays,27,50.0,4.219,3.188,3.819,3.954,Ridge regression,693855
Kevin Gausman,Toronto Blue Jays,35,95.0,3.783,3.415,3.81,3.954,Ridge regression,592332
Austin Warren,New York Mets,30,31.7,4.015,3.885,4.018,3.955,Ridge regression,681810
Dustin May,St. Louis Cardinals,28,83.7,3.314,4.881,3.891,3.958,Ridge regression,669160
Shawn Armstrong,Cleveland Guardians,35,23.7,4.324,3.067,3.743,3.959,Ridge regression,542888
Ryan Gusto,Miami Marlins,27,21.3,3.708,4.61,4.279,3.962,Ridge regression,687473
Tyler Samaniego,Boston Red Sox,27,20.3,3.542,,4.02,3.968,Ridge regression,701719
Antonio Senzatela,Colorado Rockies,31,43.3,3.307,5.481,4.383,3.973,Ridge regression,622608
Erik Miller,San Francisco Giants,28,21.3,4.412,3.968,4.142,3.975,Ridge regression,669062
