name,team,age,pre_PA,pre_wOBA,prior_wOBA,marcel_wOBA,proj_wOBA,model,mlbam
Tyler Heineman,Toronto Blue Jays,35,94.0,0.2043,0.3394,0.2826,0.2812,Ridge regression,623168
Nick Fortes,Tampa Bay Rays,29,197.0,0.2753,0.2843,0.282,0.2812,Ridge regression,663743
Ryan Vilade,Tampa Bay Rays,27,139.0,0.338,0.1507,0.256,0.2807,Ridge regression,668723
Jake Rogers,Detroit Tigers,31,82.0,0.2191,0.2683,0.2593,0.2788,Ridge regression,668670
Luisangel Acuña,Chicago White Sox,24,147.0,0.233,0.2566,0.2592,0.2785,Ridge regression,682668
J.C. Escarra,New York Yankees,31,92.0,0.225,0.2787,0.2646,0.278,Ridge regression,641555
Luis Torrens,New York Mets,30,153.0,0.2548,0.2759,0.2699,0.2778,Ridge regression,620443
Justin Foscue,Texas Rangers,27,92.0,0.3551,0.1378,0.2421,0.2777,Ridge regression,679822
Alejandro Osuna,Texas Rangers,23,157.0,0.2953,0.269,0.2918,0.2775,Ridge regression,696030
Connor Wong,Boston Red Sox,30,107.0,0.3339,0.2289,0.2787,0.2773,Ridge regression,657136
Nick Yorke,Pittsburgh Pirates,24,86.0,0.252,0.2549,0.269,0.277,Ridge regression,694377
Jorge Mateo,Atlanta Braves,31,113.0,0.3103,0.2125,0.2629,0.2766,Ridge regression,622761
Austin Hedges,Cleveland Guardians,33,123.0,0.3065,0.2376,0.2717,0.2763,Ridge regression,595978
Brandon Lockridge,Milwaukee Brewers,29,96.0,0.3194,0.2532,0.2846,0.2747,Ridge regression,663604
Jose Siri,Los Angeles Angels,30,80.0,0.3479,0.1456,0.2361,0.2745,Ridge regression,642350
James Outman,Detroit Tigers,29,101.0,0.2425,0.2349,0.2508,0.2739,Ridge regression,681546
Rafael Marchán,Philadelphia Phillies,27,81.0,0.1517,0.2621,0.2409,0.2731,Ridge regression,665561
Hunter Feduccia,Tampa Bay Rays,29,114.0,0.2699,0.2247,0.2558,0.2699,Ridge regression,676439
Mickey Gasper,Boston Red Sox,30,119.0,0.2736,0.2281,0.2579,0.2689,Ridge regression,681508
MJ Melendez,New York Mets,27,144.0,0.2974,0.15,0.24,0.2667,Ridge regression,669004
Jorge Barrosa,Arizona Diamondbacks,25,120.0,0.2601,0.1701,0.2325,0.2661,Ridge regression,678489
Donovan Walton,Los Angeles Angels,32,89.0,0.3603,0.11,0.224,0.2515,Ridge regression,622268
Nicky Lopez,Texas Rangers,31,89.0,0.3121,0.13,0.2199,0.2413,Ridge regression,670032
Leo Jiménez,Miami Marlins,25,93.0,0.2403,0.1374,0.2078,0.2347,Ridge regression,677870
